ADDRESS,STREET NUMBER,STREET,APARTMENT,CITY,COUNTY,STATE,ZIP CODE,LIST PRICE,PRIOR PRICE,PRIOR PRICE DATE,CHANGE FROM PRIOR PRICE ($),CHANGE FROM PRIOR PRICE (%),ORIGINAL PRICE,ORIGINAL PRICE DATE,CHANGE FROM ORIGINAL PRICE ($),CHANGE FROM ORIGINAL PRICE (%),SALE PRICE,SALE DATE,STATUS,LISTING TYPE,PROPERTY TYPE,BEDS,FULL BATHS,PARTIAL BATHS,SQ FT,PRICE/SQFT,LOT SIZE,YEAR BUILT,NEIGHBORHOOD,DESCRIPTION,PRIMARY PHOTO,NUMBER OF PHOTOS,VIRTUAL TOUR,MY NOTES,DATE SAVED,MLS ID,DAYS ON TRULIA,URL,AGENT NAME,AGENT EMAIL,AGENT PHONE,BROKER NAME,PROVIDED BY,LISTING SOURCE URL,OPEN HOUSE DATE (1),OPEN HOUSE TIME (1),OPEN HOUSE END TIME (1),OPEN HOUSE DATE (2),OPEN HOUSE START TIME (2),OPEN HOUSE END TIME (2),OPEN HOUSE DATE (3),OPEN HOUSE START TIME (3),OPEN HOUSE END TIME (3)
      22982 SW Hosler Way Sherwood OR 97140,22982,SW Hosler Way,,Sherwood,Washington,OR,97140,350000,$369900,May 7 2014,-$19900,-5.4%,$384900,Apr 11 2014,-$34900,-9.1%,,,For Sale,Resale,Single-Family Home,3,2,,,0,,1997,,To view this home please contact Kenn Bunn at (503) 679-8200. Sought after WOODHAVEN SINGLE LEVEL HOME. Great neighbors and neighborhood!!! Large fenced yard. A block to YMCA &amp; paved paths in green space. Newly remodeled kitchen slab granite &amp; fixtures interior &amp; exterior paint. Tile entry &amp; Formal Executive Office &amp; dining room. Master has soaking tub 2 sinks walk in closet &amp; slider to back patio. Extra attic storage move in ready w fridge/washer/dryer. AHS Home Warrantee included. To get pre-qualified please call at (503) 720-3357 or email at ckrober@guildmortgage.net NMLS #478151  OR: #NMLS ID#478151.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.61/4/b/d/7/picture-uh=4d9d638d1cf5a1199a749b5b092c8c7-ps=4bd7214f4a564bb05a95e0d9ed4c62a.jpg,16,http://22982hoslerway.edgelistingpro.com/hd_tour,,2014-05-09 11:42:56,,29,http://www.trulia.com/property/1045184726-22982-SW-Hosler-Way-Sherwood-OR-97140,Kenneth Bunn,kbunn@miv-home.com,(503) 679-8200,,The Molzahn Group via edgelistingpro.com,http://22982hoslerway.edgelistingpro.com,,,,,,,,,
      13197 SW Essex Dr Tigard OR 97223,13197,SW Essex Dr,,Tigard,Washington,OR,97223,449900,,,,,,,,,,,For Sale,Resale,Single-Family Home,5,3,0,3912,115.00511,8 276 sqft,1999,,Your New Family Home! This Spacious Home is Move in Ready the Perfect Layout for Functionality & Family Fun. The Kitchen has Granite Counters Slate Floors SS Built In Gas Appliances New Dishwasher & Side by Side Refrigerator Island & Pantry. Open Floor Plan Family Room w/Slider to Expansive Deck Over Looking the Peace & Beauty of the Forest Below. Newer Paint in Over Half the Home w/Warm Neutral Colors Throughout. Newer Hot Water Heater New Front Loading Washer & Dryer Higher End Fixtures. This Home has a lot to Offer a Must See! Conveniently Located. Make Your Appointment Today!,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.60/e/e/b/6/picture-uh=5a9d89b22b551dcf7ceca7d1eda14-ps=eeb68ac28877a83f5787dccca27d01b.jpg,16,http://tours.capella-tours.com/virtual_tours/22219/motion_picture,,2014-05-09 11:42:53,14553870,47,http://www.trulia.com/property/1025009478-13197-SW-Essex-Dr-Tigard-OR-97223,Peggy Hoag,peggy@peggyhoag.com,(503) 343-9146,,yourportlandhomesource.com,http://search.yourportlandhomesearch.com/idx/11319/details.php?listingID=IDX003707835541&cmp=trulia&resID=10661799,,,,,,,,,
      10680 SW Kiowa Ct Tualatin OR 97062,10680,SW Kiowa Ct,,Tualatin,Washington,OR,97062,394950,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,,,2360,167.3517,7 840 sqft,1988,,Immaculate original owner home on culdesac w/ 1yr old Arch roof newer exterior paint porcelain tile counters in kitchen w/laminate floor SS appliances. Tray ceiling in DR vessel sink in 1/2 bath hardwood 92% gas furnace.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/2/6/8/c/picture-uh=249d21197ca4643ddca33c797c5ebf95-ps=268cdfe5975584d9d08649b65f86b448.jpg,16,,,2014-05-08 08:18:35,14020687,3,http://www.trulia.com/property/3155094999-10680-SW-Kiowa-Ct-Tualatin-OR-97062,Lynn Cameron,lynnsellshomes@gmail.com,(503) 720-6602,,RE/MAX Pacific Northwest RE/MAX EQUITY GROUP-GRESHAM OFFICE,http://www.remax.com/mls/322-14020687,,,,,,,,,
      9975 SW Sattler St Tigard OR 97224,9975,SW Sattler St,,Tigard,Washington,OR,97224,349900,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,0,2085,167.81775,0.38 acres,1967,,Open Sun May 11: 2-4 pm Single level with RV parking light-filled 3 bed 2 bath on lush landscaped lot in Tigard; Open kitchen/dining/living. Large master with bay window; wide tiled hallway leading to family room fenced yard perfect for children and pets; Secluded Patio; fig tree; herbs; table grapes; strawberries; tomatoes. Storage galore. Furnace new in 2011; Refrig new in 2013. New sewer hook-up new roof. Listing agent is owner.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/6/e/3/3/picture-uh=3a0d32b7c709f85ee94d1985da0f142-ps=6e336843bc46d6f2959ae2a01dae4b1a.jpg,16,,,2014-05-07 06:36:10,14043556,4,http://www.trulia.com/property/3154877677-9975-SW-Sattler-St-Tigard-OR-97224,Marilyn Mccobb,marilynmccobb@gmail.com,5035152524,,Premiere Property Group,http://listings.listhub.net/pages/RMLSOR/14043556/?channel=trulia,,,,,,,,,
      10965 SW Pathfinder Way Tigard OR 97223,10965,SW Pathfinder Way,,Tigard,Washington,OR,97223,299000,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,,,2080,143.75,8 712 sqft,1976,,Motivated Seller Large private lot lots of room. Storage vaulted ceilings with large windows for elevated views. Step into the woods-like backyard. Full 16' x 20' shop with 220v building. AC 3 doors gate in rear for RV parking Boat Quad or anything. Could use a little TLC. Priced right! Brokered And Advertised By: America-at-Home Real Estate Listing Agent: Diane Webster,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/e/3/b/9/picture-uh=895fc4f3f2ba77423ce79554e8c4d5-ps=e3b9d86eb98d0ac1997bd2c2fb0faf4.jpg,5,http://www.america-at-home.com/Listing/VirtualTour.aspx?ListingID=113531463,,2014-05-07 06:36:03,14021778,4,http://www.trulia.com/property/1043385304-10965-SW-Pathfinder-Way-Tigard-OR-97223,Diane Webster,TR_113531463@platform.point2.com,425-493-6647,,America-at-Home Real Estate via Point2,http://platform.point2.com/Report/lct.ashx?lid=113531463&aid=TR&url=http%3A%2F%2Fwww.america-at-home.com%2FListing%2FViewListingDetails.aspx%3FListingID%3D113531463%26Bb%3DTR%26Cc%3D113531463,,,,,,,,,
      15034 SW 91st Ave Tigard OR 97224,15034,SW 91st Ave,,Tigard,Washington,OR,97224,259000,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,1,1587,163.201,4 791 sqft,1987,,Fabulous Opportunity To Own Popular Floorplan Flat Lot And More In High-Demand Neighborhood! 3 Large Bedrooms Master Suite With Great Layout Vaulted Ceilings Flat (Open Slate) Backyard Tile Floor Kitchen With Corian Counters. Option For Living Space In Garage. Great Sweat Equity! Walk To Park Easy Access To Bridgeport Schools All Highways. This Is The Opportunity You Have Been Waiting For!,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/1/1/2/8/picture-uh=c1de87a10b8b96499db1679f9cf694-ps=1128efffafd948173c39a1956dbf2caf.jpg,13,http://www.zingding.com/5676560504/mls,,2014-05-07 06:35:54,14138805,4,http://www.trulia.com/property/3154877173-15034-SW-91st-Ave-Tigard-OR-97224,Rachel Russell,rachelrussell@cbseal.com,(503) 329-7813,,Coldwell Banker Barbara Sue Seal Properties,http://listings.listhub.net/pages/SEAL/33796619/?channel=trulia,,,,,,,,,
      13248 SW Roshak Rd Tigard OR 97223,13248,SW Roshak Rd,,Tigard,Washington,OR,97223,429950,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,,,2301,186.85355,0.25 acres,,,View website: http://13248swroshakrd.AgentMarketing.com - Sitting on a level .25 acre lot with plenty of room for the family this home has it all. Open Kitchen to Family Room &amp; Nook. Wolf Stove Stainless Appliances Granite Counters Hardwood Floors and More. Large Master with Bathroom including Shower and Soaking Tub Walk-in Closet and Double Sinks. 4 Bedrooms 2.5 Baths. Large Office/Den with Built-in Bookcases Glass Double Doors off Entry. Dining Room converted to Craft/Music Room with ease of converting back. Large Covered Deck Garden Area Cement Patio in Backyard along with Large &amp; Level Yard perfect for Family Gatherings and Outdoor Activities. 3 Car Garage and so much more.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/d/c/4/a/picture-uh=69eebc8b75f4d4e1be7bcb4984cd74-ps=dc4a7b3ca2d0a82dc3aba5b490367dd0.jpg,26,http://eproptours.com/tour/play.htm?vid=13248swroshakrd,,2014-05-07 06:35:50,EPS-1366334844-1399350123,4,http://www.trulia.com/property/1075843747-13248-SW-Roshak-Rd-Tigard-OR-97223,Blair Jones,blairjonesrealtor@gmail.com,(503) 349-8119,,agentmarketing.com,http://13248swroshakrd.AgentMarketing.com?rs=trulia,,,,,,,,,
      9944 SE Eastview Dr Happy Valley OR 97086,9944,SE Eastview Dr,,Happy Valley,Clackamas,OR,97086,469999,$479999,May 6 2014,-$10000,-2.1%,$499900,Oct 9 2013,-$29901,-6%,,,For Sale,Resale,Single-Family Home,4,2,,,0,,1955,,To view this home please contact Lizbeth Hale at (503) 421-1562. MT. HOOD VIEW!!!!! Slate and Hardwood Floors at Entry Vaulted Living room w/Brick FP built-in bookcase maple hardwood floors with wainscoting in the dining. Vaulted kitchen with skylight Dining nook with slate heated floors. Fenced yard covered patio 2 decks. Home could be sold with .78 of acre at $479 990 and Vacant .46 acre Lot next to it for $198 910 or both combined for $678 900. To get pre-qualified please call at (503) 515-2599 or email at Adrian.Hinckley@impacmail.com NMLS #125653 | #264845 .,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.56/8/0/8/4/picture-uh=efb0e3afad36bef467d84fa587f18c9-ps=808413293879538aefc35c58dd28119.jpg,16,http://9944seeastviewdr.isnowlisted.com/hd_tour,,2014-05-07 06:34:30,,180+,http://www.trulia.com/property/3134193098-9944-SE-Eastview-Dr-Happy-Valley-OR-97086,Lizbeth Hale,lizbeth@treecityrealestate.com,5034211562,,isnowlisted.com,http://9944seeastviewdr.isnowlisted.com,,,,,,,,,
      11905 SE Koala Dr Happy Valley OR 97086,11905,SE Koala Dr,,Happy Valley,Clackamas,OR,97086,314900,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,1,2322,135.61584,8 276 sqft,1985,,This well maintained and updated property sits on a large corner lot. See "Update" document. Enjoy the lovely remodeled kitchen that is open to the family room (w/fireplace)on the lower elevation. The den/office half bath and garage complete this level. Spacious master bedroom has a walk-in and an additional closet; skylights in both full baths. The multiuse sunroom is a wonderful space that brings the outdoors "in." A definite plus!,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/9/b/3/4/picture-uh=2d7087f18cdd6ca652dbbe469f49fae-ps=9b34641c83d147348927b89cd85b62.jpg,15,,,2014-05-07 06:34:22,14364481,4,http://www.trulia.com/property/3154949242-11905-SE-Koala-Dr-Happy-Valley-OR-97086,Cindy Belgarde,belgardehomes@comcast.net,(503) 329-9637,,Summa Real Estate Group,http://listings.listhub.net/pages/RMLSOR/14364481/?channel=trulia,,,,,,,,,
      1731 Highland Dr Lake Oswego OR 97034,1731,Highland Dr,,Lake Oswego,Clackamas,OR,97034,473900,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,0,2636,179.77997,9 147 sqft,1973,Palisades,This stunning carefully remodeled home has dramatic sunset views. Flooded w/natural light this home is sure to be uplifting from dawn to dusk. Owning a coveted lake easement & access to the community pool blocks away.Entertain in the open spaces of the living room dining room & kitchen w/access to the view-laden deck.Gas & stainless appliances in the kitchen are surrounded in stone and oak cabinetry.Newer vinyl windows. Settle in...,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/1/5/c/9/picture-uh=c380b8f00a031fe1e8c3d2d60a6f0e-ps=15c92b127fa3402b4988baf4503ef7e3.jpg,16,http://alphavr.com/tours/mls/1731-highland-dr-lake-oswego-or-97034,,2014-05-06 07:20:28,14673129,5,http://www.trulia.com/property/3154841756-1731-Highland-Dr-Lake-Oswego-OR-97034,Dustin Miller,dustinm@realtytrust.com,(503) 675-3300,,realty trust group inc,http://listings.listhub.net/pages/RMLSOR/14673129/?channel=trulia,,,,,,,,,
      9260 SE 132nd Ave Happy Valley OR 97086,9260,SE 132nd Ave,,Happy Valley,Clackamas,OR,97086,355000,$375000,May 3 2014,-$20000,-5.3%,$399950,May 13 2013,-$44950,-11.2%,,,For Sale,Resale,Single-Family Home,2,1,0,1856,191.27155,0.78 acres,1947,,Super clean 1 level on .78 acre Possible zone change for 3 lots check w/city of Happy Valley beautiful property possible view lots of RV parking 24x28 gar above ground oil tank vacant & easy to show.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.53/7/c/e/f/picture-uh=6c536aa48fefe509347b24bc0b6633-ps=7cefa293a77863df08a15bce8b46e2b.jpg,9,,,2014-05-05 06:38:32,13077849,180+,http://www.trulia.com/property/3118368866-9260-SE-132nd-Ave-Happy-Valley-OR-97086,Nancy Kelly,nancymariekelly8@gmail.com,(503) 805-5887,,Real Estate Network Group,http://listings.listhub.net/pages/RMLSOR/13077849/?channel=trulia,,,,,,,,,
      14074 Sundeleaf Dr Lake Oswego OR 97034,14074,Sundeleaf Dr,,Lake Oswego,Clackamas,OR,97034,369900,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,2,0,1760,210.17046,0.26 acres,1956,Uplands,,,,http://tour.circlepix.com/home/ZMRE4J,,2014-05-04 17:17:42,14057708,7,http://www.trulia.com/property/3154610322-14074-Sundeleaf-Dr-Lake-Oswego-OR-97034,Susan Gibson Stier,susan@susanstier.com,5034975412,,Windermere Real Estate,http://listhub.windermere.com/pages/WINDERMERE/24773902/?channel=trulia,,,,,,,,,
      1907 Sunray Ct West Linn OR 97068,1907,Sunray Ct,,West Linn,Clackamas,OR,97068,459900,,,,,,,,,,,For Sale,Resale,Single-Family Home,4,3,0,2847,161.53847,8 276 sqft,1985,Hidden Springs,Its all about location and this home has it! Tucked into a quiet cul-de-sac in a desirable neighborhood and Trillium Elementary. Steps away from walkway to 3 acre city park in addition to steps away from neighborhood pool and tennis. Youll love this home before you even walk thru the door! Open floor plan. 3 bedrooms/3 full baths/den/4th bedroom family room formal living and dining. Private yard with fantastic deck. A must see!,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/d/1/e/8/picture-uh=5acdf842495f258205bd7a18da8ffbd-ps=d1e8b1adc5afbeabd5b78b282742116.jpg,22,http://tour.circlepix.com/home/AQU5SP,,2014-05-04 17:17:34,14283250,7,http://www.trulia.com/property/3154612831-1907-Sunray-Ct-West-Linn-OR-97068,Sandy Fogle,sandyfogle@windermere.com,(503) 334-7000,,Windermere Real Estate,http://listhub.windermere.com/pages/WINDERMERE/24778741/?channel=trulia,,,,,,,,,
      2939 Ascot Cir West Linn OR 97068,2939,Ascot Cir,,West Linn,Clackamas,OR,97068,399900,,,,,,,,,,,For Sale,Resale,Single-Family Home,3,2,0,2055,194.59854,10 018 sqft,1981,Hidden Springs,Custom Built Well maintained updated home in desirable established West Linn neighborhood. 3BR/2BA with formal vaulted living room dining room with atrium skylight and Swarovski chandelier. Vaulted family room with large windows wet bar and new certified Woodstove. Kitchen with granite countertops skylight newer appliances. Master suite with walk-in closet. Large well landscaped private yard w/covered deck/sun deck storage shed.,http://thumbs.trulia-cdn.com/pictures/thumbs_big/ps.62/f/0/f/6/picture-uh=ea90999cdfda583cc19f9696807d87ef-ps=f0f6064d5ee5a8b188a14558f3347e.jpg,18,,,2014-05-04 17:17:21,14044846,7,http://www.trulia.com/property/3154608214-2939-Ascot-Cir-West-Linn-OR-97068,Dale Kuhn,dalek@johnlscott.com,(503) 319-4333,,John L. Scott,http://listings.listhub.net/pages/RMLSOR/14044846/?channel=trulia,,,,,,,,,
